127.0.0.1 - - [28/Jan/2022:17:29:58 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [28/Jan/2022:17:29:59 +0900] "GET /BBS/ HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [28/Jan/2022:17:29:59 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1525
0:0:0:0:0:0:0:1 - - [28/Jan/2022:17:29:59 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2022:17:29:59 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2022:17:29:59 +0900] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [28/Jan/2022:17:35:23 +0900] "GET /BBS/ HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [28/Jan/2022:17:35:23 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1525
0:0:0:0:0:0:0:1 - - [28/Jan/2022:17:35:29 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [28/Jan/2022:17:35:33 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [28/Jan/2022:17:37:18 +0900] "GET /BBS/ HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [28/Jan/2022:17:37:18 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1525
0:0:0:0:0:0:0:1 - - [28/Jan/2022:17:37:21 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [28/Jan/2022:17:37:25 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [28/Jan/2022:17:37:25 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [28/Jan/2022:17:37:31 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [28/Jan/2022:17:37:31 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1525
0:0:0:0:0:0:0:1 - - [28/Jan/2022:17:37:36 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2917
0:0:0:0:0:0:0:1 - - [28/Jan/2022:17:37:39 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2917
0:0:0:0:0:0:0:1 - - [28/Jan/2022:17:37:43 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2917
0:0:0:0:0:0:0:1 - - [28/Jan/2022:17:37:45 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2917
0:0:0:0:0:0:0:1 - - [28/Jan/2022:17:37:47 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2917
0:0:0:0:0:0:0:1 - - [28/Jan/2022:17:37:49 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2917
0:0:0:0:0:0:0:1 - - [28/Jan/2022:17:37:51 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2917
0:0:0:0:0:0:0:1 - - [28/Jan/2022:17:37:53 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2172
